지점명,일시,강수량(mm),강수 기록,전날강수
서울,2017-09-02,0.0,0,0.0
서울,2017-09-03,0.0,0,0.0
서울,2017-09-04,0.0,0,0.0
서울,2017-09-05,0.0,0,0.0
서울,2017-09-06,2.0,1,0.0
서울,2017-09-07,0.0,0,1.0
서울,2017-09-08,0.0,0,0.0
서울,2017-09-09,0.0,0,0.0
서울,2017-09-10,0.5,1,0.0
서울,2017-09-11,24.0,1,1.0
서울,2017-09-12,0.0,0,1.0
서울,2017-09-13,0.0,0,0.0
서울,2017-09-14,0.0,0,0.0
서울,2017-09-15,0.0,0,0.0
서울,2017-09-16,0.0,0,0.0
서울,2017-09-17,0.0,0,0.0
서울,2017-09-18,0.0,0,0.0
서울,2017-09-19,8.0,1,0.0
서울,2017-09-20,0.0,0,1.0
서울,2017-09-21,0.0,0,0.0
서울,2017-09-22,0.0,0,0.0
서울,2017-09-23,0.0,0,0.0
서울,2017-09-24,0.0,0,0.0
서울,2017-09-25,0.0,0,0.0
서울,2017-09-26,0.0,0,0.0
서울,2017-09-27,0.5,1,0.0
서울,2017-09-28,0.0,0,1.0
서울,2017-09-29,0.0,0,0.0
서울,2017-09-30,0.0,0,0.0
서울,2017-10-01,4.0,1,0.0
서울,2017-10-02,1.5,1,1.0
서울,2017-10-03,0.0,0,1.0
서울,2017-10-04,0.0,0,0.0
서울,2017-10-05,0.0,0,0.0
서울,2017-10-06,0.5,1,0.0
서울,2017-10-07,0.0,0,1.0
서울,2017-10-08,0.0,0,0.0
서울,2017-10-09,0.0,0,0.0
서울,2017-10-10,0.4,1,0.0
서울,2017-10-11,20.0,1,1.0
서울,2017-10-12,0.0,0,1.0
서울,2017-10-13,0.0,0,0.0
서울,2017-10-14,0.0,0,0.0
서울,2017-10-15,0.0,0,0.0
서울,2017-10-16,0.0,0,0.0
서울,2017-10-17,0.0,0,0.0
서울,2017-10-18,0.1,1,0.0
서울,2017-10-19,0.0,0,1.0
서울,2017-10-20,0.0,0,0.0
서울,2017-10-21,0.0,0,0.0
서울,2017-10-22,0.0,0,0.0
서울,2017-10-23,0.0,0,0.0
서울,2017-10-24,0.0,0,0.0
서울,2017-10-25,0.0,0,0.0
서울,2017-10-26,0.0,0,0.0
서울,2017-10-27,0.0,0,0.0
서울,2017-10-28,0.0,0,0.0
서울,2017-10-29,0.0,0,0.0
서울,2017-10-30,0.0,0,0.0
서울,2017-10-31,0.0,0,0.0
서울,2018-09-01,0.0,0,0.0
서울,2018-09-02,0.0,0,0.0
서울,2018-09-03,34.5,1,0.0
서울,2018-09-04,0.0,0,1.0
서울,2018-09-05,0.0,0,0.0
서울,2018-09-06,1.0,1,0.0
서울,2018-09-07,0.5,1,1.0
서울,2018-09-08,0.0,0,1.0
서울,2018-09-09,0.0,0,0.0
서울,2018-09-10,0.0,0,0.0
서울,2018-09-11,0.0,0,0.0
서울,2018-09-12,0.0,0,0.0
서울,2018-09-13,0.0,0,0.0
서울,2018-09-14,0.5,1,0.0
서울,2018-09-15,0.2,1,1.0
서울,2018-09-16,2.0,1,1.0
서울,2018-09-17,0.1,1,1.0
서울,2018-09-18,0.0,0,1.0
서울,2018-09-19,0.2,1,0.0
서울,2018-09-20,5.0,1,1.0
서울,2018-09-21,18.0,1,1.0
서울,2018-09-22,6.5,1,1.0
서울,2018-09-23,0.0,0,1.0
서울,2018-09-24,0.0,0,0.0
서울,2018-09-25,0.0,0,0.0
서울,2018-09-26,0.0,0,0.0
서울,2018-09-27,0.0,0,0.0
서울,2018-09-28,0.0,0,0.0
서울,2018-09-29,0.0,0,0.0
서울,2018-09-30,0.0,0,0.0
서울,2018-10-01,0.0,0,0.0
서울,2018-10-02,0.0,0,0.0
서울,2018-10-03,0.0,0,0.0
서울,2018-10-04,0.0,0,0.0
서울,2018-10-05,36.5,1,0.0
서울,2018-10-06,55.5,1,1.0
서울,2018-10-07,0.0,0,1.0
서울,2018-10-08,0.0,0,0.0
서울,2018-10-09,0.0,0,0.0
서울,2018-10-10,7.0,1,0.0
서울,2018-10-11,0.0,0,1.0
서울,2018-10-12,0.0,0,0.0
서울,2018-10-13,0.0,0,0.0
서울,2018-10-14,0.0,0,0.0
서울,2018-10-15,0.0,0,0.0
서울,2018-10-16,0.0,0,0.0
서울,2018-10-17,0.0,0,0.0
서울,2018-10-18,0.0,0,0.0
서울,2018-10-19,0.0,0,0.0
서울,2018-10-20,0.0,0,0.0
서울,2018-10-21,0.0,0,0.0
서울,2018-10-22,0.0,0,0.0
서울,2018-10-23,5.0,1,0.0
서울,2018-10-24,0.0,0,1.0
서울,2018-10-25,0.0,0,0.0
서울,2018-10-26,11.0,1,0.0
서울,2018-10-27,0.0,0,1.0
서울,2018-10-28,5.5,1,0.0
서울,2018-10-29,0.0,0,1.0
서울,2018-10-30,0.0,0,0.0
서울,2018-10-31,0.0,0,0.0
서울,2019-09-01,0.0,0,0.0
서울,2019-09-02,0.0,0,0.0
서울,2019-09-03,0.0,0,0.0
서울,2019-09-04,22.7,1,0.0
서울,2019-09-05,36.4,1,1.0
서울,2019-09-06,2.4,1,1.0
서울,2019-09-07,2.8,1,1.0
서울,2019-09-08,0.0,0,1.0
서울,2019-09-09,0.0,0,0.0
서울,2019-09-10,63.2,1,0.0
서울,2019-09-11,7.6,1,1.0
서울,2019-09-12,3.9,1,1.0
서울,2019-09-13,0.1,1,1.0
서울,2019-09-14,0.3,1,1.0
서울,2019-09-15,0.0,0,1.0
서울,2019-09-16,0.0,0,0.0
서울,2019-09-17,0.0,0,0.0
서울,2019-09-18,0.0,0,0.0
서울,2019-09-19,0.0,0,0.0
서울,2019-09-20,0.0,0,0.0
서울,2019-09-21,0.0,0,0.0
서울,2019-09-22,0.4,1,0.0
서울,2019-09-23,0.0,0,1.0
서울,2019-09-24,0.0,0,0.0
서울,2019-09-25,0.0,0,0.0
서울,2019-09-26,0.0,0,0.0
서울,2019-09-27,0.0,0,0.0
서울,2019-09-28,0.0,0,0.0
서울,2019-09-29,0.0,0,0.0
서울,2019-09-30,0.0,0,0.0
서울,2019-10-01,0.0,0,0.0
서울,2019-10-02,23.1,1,0.0
서울,2019-10-03,4.6,1,1.0
서울,2019-10-04,0.0,0,1.0
서울,2019-10-05,0.6,1,0.0
서울,2019-10-06,0.0,0,1.0
서울,2019-10-07,25.4,1,0.0
서울,2019-10-08,0.0,0,1.0
서울,2019-10-09,0.0,0,0.0
서울,2019-10-10,0.0,0,0.0
서울,2019-10-11,0.0,0,0.0
서울,2019-10-12,0.0,0,0.0
서울,2019-10-13,0.0,0,0.0
서울,2019-10-14,0.0,0,0.0
서울,2019-10-15,0.0,0,0.0
서울,2019-10-16,0.0,0,0.0
서울,2019-10-17,0.0,0,0.0
서울,2019-10-18,0.0,0,0.0
서울,2019-10-19,0.0,0,0.0
서울,2019-10-20,0.0,0,0.0
서울,2019-10-21,0.0,0,0.0
서울,2019-10-22,0.0,0,0.0
서울,2019-10-23,0.0,0,0.0
서울,2019-10-24,0.0,0,0.0
서울,2019-10-25,0.0,0,0.0
서울,2019-10-26,0.0,0,0.0
서울,2019-10-27,0.0,0,0.0
서울,2019-10-28,1.7,1,0.0
서울,2019-10-29,0.1,1,1.0
서울,2019-10-30,0.0,0,1.0
서울,2019-10-31,0.0,0,0.0
서울,2020-09-01,0.0,0,0.0
서울,2020-09-02,33.3,1,0.0
서울,2020-09-03,29.8,1,1.0
서울,2020-09-04,0.0,0,1.0
서울,2020-09-05,0.0,0,0.0
서울,2020-09-06,6.4,1,0.0
서울,2020-09-07,61.0,1,1.0
서울,2020-09-08,0.0,0,1.0
서울,2020-09-09,1.3,1,0.0
서울,2020-09-10,3.9,1,1.0
서울,2020-09-11,1.2,1,1.0
서울,2020-09-12,5.7,1,1.0
서울,2020-09-13,0.0,0,1.0
서울,2020-09-14,0.0,0,0.0
서울,2020-09-15,0.0,0,0.0
서울,2020-09-16,0.3,1,0.0
서울,2020-09-17,0.0,0,1.0
서울,2020-09-18,0.0,0,0.0
서울,2020-09-19,0.3,1,0.0
서울,2020-09-20,0.0,0,1.0
서울,2020-09-21,0.0,0,0.0
서울,2020-09-22,0.0,0,0.0
서울,2020-09-23,0.0,0,0.0
서울,2020-09-24,0.0,0,0.0
서울,2020-09-25,0.0,0,0.0
서울,2020-09-26,0.0,0,0.0
서울,2020-09-27,0.0,0,0.0
서울,2020-09-28,0.0,0,0.0
서울,2020-09-29,0.0,0,0.0
서울,2020-09-30,38.3,1,0.0
서울,2020-10-01,0.0,0,1.0
서울,2020-10-02,0.0,0,0.0
서울,2020-10-03,0.0,0,0.0
서울,2020-10-04,0.0,0,0.0
서울,2020-10-05,0.0,0,0.0
서울,2020-10-06,0.0,0,0.0
서울,2020-10-07,0.0,0,0.0
서울,2020-10-08,0.0,0,0.0
서울,2020-10-09,0.0,0,0.0
서울,2020-10-10,0.0,0,0.0
서울,2020-10-11,0.0,0,0.0
서울,2020-10-12,0.0,0,0.0
서울,2020-10-13,0.0,0,0.0
서울,2020-10-14,0.0,0,0.0
서울,2020-10-15,0.0,0,0.0
서울,2020-10-16,0.0,0,0.0
서울,2020-10-17,0.0,0,0.0
서울,2020-10-18,0.0,0,0.0
서울,2020-10-19,0.0,0,0.0
서울,2020-10-20,0.0,0,0.0
서울,2020-10-21,0.0,0,0.0
서울,2020-10-22,0.0,0,0.0
서울,2020-10-23,0.0,0,0.0
서울,2020-10-24,0.0,0,0.0
서울,2020-10-25,0.0,0,0.0
서울,2020-10-26,0.0,0,0.0
서울,2020-10-27,0.0,0,0.0
서울,2020-10-28,0.0,0,0.0
서울,2020-10-29,0.0,0,0.0
서울,2020-10-30,0.0,0,0.0
서울,2020-10-31,0.0,0,0.0
서울,2021-09-01,0.8,1,0.0
서울,2021-09-02,0.0,0,1.0
서울,2021-09-03,0.0,0,0.0
서울,2021-09-04,0.0,0,0.0
서울,2021-09-05,0.0,0,0.0
서울,2021-09-06,12.0,1,0.0
서울,2021-09-07,29.6,1,1.0
서울,2021-09-08,1.6,1,1.0
서울,2021-09-09,0.0,0,1.0
서울,2021-09-10,0.0,0,0.0
서울,2021-09-11,0.0,0,0.0
서울,2021-09-12,0.0,0,0.0
서울,2021-09-13,0.0,0,0.0
서울,2021-09-14,0.0,0,0.0
서울,2021-09-15,0.0,0,0.0
서울,2021-09-16,0.0,0,0.0
서울,2021-09-17,0.0,0,0.0
서울,2021-09-18,0.0,0,0.0
서울,2021-09-19,0.0,0,0.0
서울,2021-09-20,0.0,0,0.0
서울,2021-09-21,68.1,1,0.0
서울,2021-09-22,4.5,1,1.0
서울,2021-09-23,0.0,0,1.0
서울,2021-09-24,0.0,0,0.0
서울,2021-09-25,0.0,0,0.0
서울,2021-09-26,0.0,0,0.0
서울,2021-09-27,0.0,0,0.0
서울,2021-09-28,1.3,1,0.0
서울,2021-09-29,13.1,1,1.0
서울,2021-09-30,0.0,0,1.0
서울,2021-10-01,13.3,1,0.0
서울,2021-10-02,0.0,0,1.0
서울,2021-10-03,0.0,0,0.0
서울,2021-10-04,3.6,1,0.0
서울,2021-10-05,0.0,0,1.0
서울,2021-10-06,6.4,1,0.0
서울,2021-10-07,4.6,1,1.0
서울,2021-10-08,3.5,1,1.0
서울,2021-10-09,0.4,1,1.0
서울,2021-10-10,14.2,1,1.0
서울,2021-10-11,0.3,1,1.0
서울,2021-10-12,0.0,0,1.0
서울,2021-10-13,0.0,0,0.0
서울,2021-10-14,0.0,0,0.0
서울,2021-10-15,0.0,0,0.0
서울,2021-10-16,0.0,0,0.0
서울,2021-10-17,0.0,0,0.0
서울,2021-10-18,5.6,1,0.0
서울,2021-10-19,4.4,1,1.0
서울,2021-10-20,0.0,0,1.0
서울,2021-10-21,0.0,0,0.0
서울,2021-10-22,0.0,0,0.0
서울,2021-10-23,0.0,0,0.0
서울,2021-10-24,0.0,0,0.0
서울,2021-10-25,0.0,0,0.0
서울,2021-10-26,0.0,0,0.0
서울,2021-10-27,0.0,0,0.0
서울,2021-10-28,0.0,0,0.0
서울,2021-10-29,0.0,0,0.0
서울,2021-10-30,0.0,0,0.0
서울,2021-10-31,0.7,1,0.0
서울,2022-09-01,0.0,0,1.0
서울,2022-09-02,0.0,0,0.0
서울,2022-09-03,0.0,0,0.0
서울,2022-09-04,33.8,1,0.0
서울,2022-09-05,120.0,1,1.0
서울,2022-09-06,25.3,1,1.0
